Response ID	Frequency of Teeth Cleaning	Single Status
19	Every six months	Not Single
22	Less than every other year	Not Single
23	Less than every other year	Not Single
26	Every other year	Not Single
28	Every year	Not Single
29	Every six months	Not Single
30	Every year	Single
31	Every six months	Not Single
34	Every six months	Not Single
37	Less than every other year	Not Single
38	Every six months	Single
39	Every six months	Single
42	Every year	Not Single
43	Every six months	Not Single
47	Every six months	Single
51	Less than every other year	Single
53	Less than every other year	Not Single
55	Every year	Not Single
59	Every six months	Not Single
60	Every six months	Not Single
62	Every six months	Not Single
63	Every year	Not Single
64	Every year	Not Single
65	Every other year	Not Single
69	Every six months	Not Single
70	Every six months	Not Single
71	Every year	Not Single
74	Every year	Single
75	Every year	Single
76	Every six months	Single
78	Every other year	Not Single
83	Every six months	Not Single
84	Every other year	Single
85	Every six months	Single
89	Every year	Not Single
90	Less than every other year	Not Single
91	Less than every other year	Single
92	Every year	Not Single
93	Less than every other year	Not Single
94	Less than every other year	Not Single
95	Every six months	Not Single
96	Every six months	Not Single
97	Less than every other year	Not Single
98	Less than every other year	Not Single
100	Less than every other year	Single
101	Every six months	Not Single
106	Every six months	Single
108	Every six months	Not Single
110	Every year	Not Single
112	Every six months	Not Single
113	Every six months	Single
116	Every six months	Not Single
117	Less than every other year	Not Single
118	Every six months	Single
121	Every other year	Not Single
122	Every six months	Not Single
124	Every six months	Not Single
126	Every other year	Single
132	Every six months	Not Single
135	Every six months	Single
137	Every six months	Not Single
138	Every six months	Not Single
141	Less than every other year	Not Single
142	Every year	Single
145	Every six months	Not Single
148	Every year	Not Single
152	Every year	Not Single
153	Every six months	Single
155	Less than every other year	Not Single
156	Less than every other year	Not Single
164	Every six months	Not Single
169	Every other year	Not Single
172	Less than every other year	Not Single
173	Every other year	Single
174	Every year	Single
177	Every six months	Single
180	Every year	Single
181	Less than every other year	Single
182	Every six months	Not Single
183	Every six months	Single
185	Every six months	Single
187	Every year	Not Single
189	Every six months	Not Single
190	Every year	Single
191	Every six months	Not Single
193	Every other year	Single
195	Less than every other year	Single
196	Every other year	Single
197	Every year	Single
199	Every year	Single
200	Less than every other year	Not Single
201	Every year	Not Single
202	Less than every other year	Not Single
210	Every year	Not Single
211	Every six months	Not Single
212	Every six months	Not Single
213	Every six months	Not Single
214	Every six months	Not Single
215	Every year	Not Single
219	Every six months	Not Single
221	Every other year	Single
223	Every other year	Single
224	Less than every other year	Single
225	Every six months	Not Single
226	Every six months	Not Single
228	Less than every other year	Not Single
229	Every six months	Not Single
233	Every six months	Single
235	Every six months	Not Single
236	Every six months	Not Single
237	Every six months	Not Single
241	Every year	Single
242	Every year	Not Single
243	Less than every other year	Not Single
246	Every other year	Not Single
247	Every six months	Not Single
249	Every year	Not Single
251	Every year	Single
256	Every six months	Not Single
257	Less than every other year	Not Single
258	Less than every other year	Not Single
260	Less than every other year	Single
261	Every six months	Not Single
262	Every year	Single
263	Every year	Not Single
266	Every year	Single
268	Less than every other year	Not Single
270	Every six months	Not Single
271	Every six months	Not Single
273	Every six months	Not Single
279	Every year	Not Single
284	Every six months	Not Single
285	Every six months	Not Single
288	Every year	Not Single
291	Every six months	Not Single
293	Every year	Not Single
295	Every six months	Single
303	Every other year	Not Single
304	Every six months	Not Single
305	Every year	Single
308	Every six months	Not Single
309	Every six months	Single
310	Every other year	Single
313	Every six months	Not Single
314	Every six months	Not Single
316	Every year	Single
317	Less than every other year	Single
318	Every six months	Not Single
336	Less than every other year	Not Single
337	Every six months	Single
338	Every six months	Not Single
341	Every six months	Not Single
343	Every six months	Not Single
344	Every six months	Single
345	Every year	Not Single
346	Every six months	Not Single
347	Every year	Not Single
348	Every six months	Not Single
349	Every six months	Single
350	Every year	Not Single
353	Every year	Single
354	Every six months	Not Single
355	Every year	Not Single
357	Every year	Single
360	Every six months	Not Single
361	Every six months	Single
362	Every other year	Single
363	Every six months	Not Single
364	Every six months	Single
366	Every year	Single
367	Every six months	Single
368	Every year	Single
369	Every other year	Single
372	Every six months	Not Single
373	Every year	Single
374	Every year	Single
376	Less than every other year	Not Single
384	Every six months	Not Single
385	Every six months	Not Single
388	Every year	Single
391	Every six months	Single
392	Every six months	Not Single
393	Every six months	Not Single
397	Every six months	Not Single
398	Every six months	Not Single
400	Every six months	Not Single
402	Every six months	Single
406	Every six months	Not Single
407	Every six months	Not Single
408	Every year	Not Single
410	Every six months	Single
411	Less than every other year	Single
414	Every year	Not Single
421	Every year	Single
423	Every six months	Not Single
424	Every six months	Not Single
