Batch	Viscosity
1	84.63
2	86.84
3	84.54
4	85.56
5	85.4
6	87.44
7	85.37
8	84.75
9	85.1
10	85.88
11	84.12
12	83.22
13	83.87
14	85.54
15	85.06
16	84.17
17	82.72
18	84.39
19	84.76
20	83.44
21	83.71
22	84.67
23	84.82
24	83.87
25	85.12
26	86
27	85.44
28	85.2
29	84.29
30	84.13
31	86.81
32	80.92
33	84.61
34	86.02
35	83.22
36	85.13
37	84.32
38	83.99
39	85.66
40	86.34
41	85.88
42	84.25
43	85.72
44	84.76
45	82.49
46	82.81
47	85.76
48	82.03
49	85.53
50	84.79
51	82.9
52	84.32
53	83.85
54	85.84
55	87.01
56	86.65
57	85.94
58	84.63
59	83.53
60	85.46
61	84.6
62	84.62
63	86.61
64	84.7
65	83.27
66	85.52
67	83.18
68	84.69
69	86.4
70	86.93
71	79.19
72	80.09
73	80.26
74	81.14
75	82.75
76	78.35
77	79.38
78	78.56
79	81.23
80	79.9
81	80.16
82	79.23
83	80.16
84	83.4
85	80.1
86	78.78
87	80.28
88	80.92
89	80.1
90	79.04
91	80.06
92	81.33
93	78.32
94	79.76
95	80.39
96	81.26
97	80.81
98	77.49
99	79.46
100	78.79
